"order_id","customer_id","timestamp","payment_method","payment_status"
"1abddeda-f8d4-42f8-8171-ab49483fc200","1d53446c-efbb-11eb-a231-8c8590a11b57","2021-07-04 20:31:02","CREDIT_CARD","OK"
"700dac88-07a5-46fe-8e7b-1ef272c5ab87","1d53660e-efbb-11eb-a231-8c8590a11b57","2021-07-18 07:15:10","CREDIT_CARD","OK"
"833f8fb9-bc7e-43d2-af19-39b1413223a0","1d5289e6-efbb-11eb-a231-8c8590a11b57","2021-07-21 05:00:05","ONLINE_PAYMENT","OK"
"8ec2cdec-98d5-41ac-83c9-a148faa17443","1d532e96-efbb-11eb-a231-8c8590a11b57","2021-07-23 21:18:53","ONLINE_PAYMENT","OK"
"52e99e15-b63f-4bf6-92cc-ff51092a0663","1d530998-efbb-11eb-a231-8c8590a11b57","2021-07-02 20:25:34","CREDIT_CARD","OK"
"15f22636-3163-4a7d-86be-6b22891aa36d","1d52e7a6-efbb-11eb-a231-8c8590a11b57","2021-07-03 22:30:44","ON_DELIVERY","OK"
"bc5b3d17-4b94-4253-915a-11842ddf5ba4","1d52f2be-efbb-11eb-a231-8c8590a11b57","2021-07-14 22:19:39","ONLINE_PAYMENT","OK"
"6d34a8ce-a9a7-4d25-b70c-b41da1fce2c5","1d528d24-efbb-11eb-a231-8c8590a11b57","2021-07-12 20:20:16","ON_DELIVERY","OK"
"7f5d768e-d9ef-48d8-b012-af8ab04f7f44","1d52da68-efbb-11eb-a231-8c8590a11b57","2021-07-14 19:47:33","ONLINE_PAYMENT","OK"
"3ef0c9d3-81f6-46c3-900c-938dd0690b13","1d5294b8-efbb-11eb-a231-8c8590a11b57","2021-07-27 02:55:12","ON_DELIVERY","VERIFY_BANK_DETAILS"
"ae0d9209-b209-46ef-a67c-3d00897fabe8","1d538896-efbb-11eb-a231-8c8590a11b57","2021-07-01 07:33:52","ON_DELIVERY","OK"
"978ce416-1b7e-470d-a0dc-9a0b0801c5db","1d538288-efbb-11eb-a231-8c8590a11b57","2021-07-23 19:16:57","CREDIT_CARD","OK"
"23d85344-7d5c-4347-aab1-33c34e796e7e","1d535b6e-efbb-11eb-a231-8c8590a11b57","2021-07-05 17:44:25","ONLINE_PAYMENT","OK"
"a48c0e8e-8881-4d0c-ac46-d65cb1b4d522","1d532248-efbb-11eb-a231-8c8590a11b57","2021-07-05 08:42:43","ON_DELIVERY","OK"
"edfd73fd-c608-48eb-b541-875471b8d85d","1d539dc2-efbb-11eb-a231-8c8590a11b57","2021-07-13 08:21:22","ONLINE_PAYMENT","OK"
"d6dbfb9c-8d53-4b64-addf-8bc28d632477","1d536f1e-efbb-11eb-a231-8c8590a11b57","2021-06-29 01:18:25","ON_DELIVERY","OK"
"f7d8baa7-f5c4-4c63-b581-1f077e569cd4","1d529396-efbb-11eb-a231-8c8590a11b57","2021-07-22 06:48:18","ONLINE_PAYMENT","OK"
"b5547c04-48c1-4554-a87d-3c64681a1326","1d534a20-efbb-11eb-a231-8c8590a11b57","2021-07-04 07:26:12","ON_DELIVERY","OK"
"cb9cb7c9-6bdb-4c64-b313-de00e4b2ab35","1d52aad4-efbb-11eb-a231-8c8590a11b57","2021-07-06 04:04:30","ON_DELIVERY","FAILED"
"bd87626c-52a4-48e5-8fd3-54aaf5cba2be","1d530330-efbb-11eb-a231-8c8590a11b57","2021-07-23 23:25:42","CREDIT_CARD","VERIFY_BANK_DETAILS"
"acc29e61-52a9-478c-b1ad-594d87b6247c","1d52aa98-efbb-11eb-a231-8c8590a11b57","2021-07-08 15:48:38","CREDIT_CARD","VERIFY_ADDRESS"
"6c3966cd-b9d3-41de-a87d-04aa10ba7a5d","1d52af98-efbb-11eb-a231-8c8590a11b57","2021-06-29 22:31:05","ON_DELIVERY","OK"
"483d88be-a514-4382-918d-4bddb8373c89","1d52f408-efbb-11eb-a231-8c8590a11b57","2021-07-23 07:05:46","ONLINE_PAYMENT","OK"
"40e6471c-92fc-41b9-8c6d-ea342b25bcb9","1d532b1c-efbb-11eb-a231-8c8590a11b57","2021-07-01 10:37:55","ONLINE_PAYMENT","OK"
"1a28a67f-1357-407b-86aa-39979b557ab6","1d539246-efbb-11eb-a231-8c8590a11b57","2021-07-18 09:08:05","ONLINE_PAYMENT","OK"
"9b1fd51d-df7f-45d5-a2a6-407c0db2feb0","1d52da68-efbb-11eb-a231-8c8590a11b57","2021-07-10 03:30:07","ONLINE_PAYMENT","VERIFY_ADDRESS"
"e8b01fc4-b888-450c-bd39-3b65c78f51a9","1d52d220-efbb-11eb-a231-8c8590a11b57","2021-07-25 06:45:55","ONLINE_PAYMENT","VERIFY_BANK_DETAILS"
"07cdcc6a-9ca8-4f0c-b575-da65148500cf","1d538d28-efbb-11eb-a231-8c8590a11b57","2021-07-20 01:24:53","ONLINE_PAYMENT","OK"
"c57dcd4b-8eca-4b59-a9b2-ff8949554fec","1d52af98-efbb-11eb-a231-8c8590a11b57","2021-07-04 17:19:32","ONLINE_PAYMENT","VERIFY_BANK_DETAILS"
